from,to,weight
S4,S126,0
S4,S129,0
S4,S130,0
S4,S131,0
S4,S132,0
S4,S133,0
S4,S134,0
S4,S135,0
S4,S136,0
S4,S137,0
S4,S138,0
S4,S139,0
S4,S140,0
S4,S141,0
S4,S142,0
S4,S143,0
S4,S145,0
S4,S146,0
S4,S147,0
S4,S148,0
S4,S149,0
S4,S151,0
S4,S152,0
S4,S153,0
S4,S154,0
S4,S155,0
S4,S156,0
S4,S158,0
S4,S160,0
S4,S163,0
S4,S165,0
S4,S166,0
S4,S167,0
S4,S169,0
S4,S170,0
S4,S172,0
S4,S174,0
S4,S178,0
S4,S180,0
S4,S181,0
S4,S182,0
S4,S183,0
S4,S184,0.07692308
S4,S186,0
S4,S187,0
S4,S188,0
S4,S189,0
S4,S190,0
S4,S193,0
S4,S194,0
S4,S195,0
S4,S197,0
S4,S198,0
S4,S201,0
S4,S202,0
S4,S203,0
S4,S204,0
S4,S206,0
S4,S208,0
S4,S209,0
S4,S210,0
S4,S212,0
S4,S214,0
S4,S216,0
S4,S218,0
S4,S220,0
S4,S221,0
S4,S222,0
S4,S223,0
S4,S224,0
S4,S225,0
S4,S227,0
S4,S229,0
S4,S230,0
S4,S231,0
S4,S232,0
S4,S234,0
S4,S235,0
S4,S239,0
S4,S242,0
S4,S243,0
S4,S244,0
S4,S245,0
S4,S246,0
S4,S247,0
S4,S253,0
S4,S254,0
S4,S255,0
S4,S256,0
S4,S257,0
S4,S261,0
S4,S262,0
S4,S264,0
S4,S265,0.09090909
S4,S266,0
S4,S267,0
S4,S268,0
S4,S269,0
S4,S270,0
S4,S271,0
S4,S274,0
S4,S275,0
S4,S276,0
S4,S277,0
S4,S278,0
S4,S280,0
S4,S281,0
S4,S282,0
S4,S284,0
S4,S285,0
S4,S286,0
S4,S287,0
S4,S288,0
S4,S293,0
S4,S294,0
S4,S295,0
S4,S297,0
S4,S298,0
S4,S299,0
S4,S300,0
S4,S302,0
S4,S303,0
S4,S304,0
S4,S305,0
S4,S306,0
S4,S308,0
S4,S310,0
S4,S311,0
S4,S313,0
S4,S316,0
S4,S317,0
S4,S318,0
S4,S319,0
S4,S320,0
S4,S321,0
S4,S324,0
S4,S325,0
S4,S326,0
S4,S327,0
S4,S329,0
S4,S331,0
S4,S332,0
S4,S333,0
S4,S334,0
S4,S335,0
S4,S336,0
S4,S337,0
S4,S338,0
S4,S339,0
S4,S340,0
S4,S342,0
S4,S344,0
S4,S345,0
S4,S346,0
S4,S348,0
S4,S349,0
S4,S352,0
S4,S354,0
S4,S357,0
S4,S358,0
S4,S359,0
S4,S360,0
S4,S361,0
S4,S362,0
S4,S363,0
S4,S365,0
S4,S366,0
S4,S367,0
S4,S368,0
S4,S370,0
S4,S371,0
S4,S373,0
S4,S374,0
S4,S375,0
S4,S376,0
S4,S377,0
S4,S378,0
S4,S381,0
S4,S384,0
S4,S386,0
S4,S387,0
S4,S388,0
S4,S389,0
S4,S390,0
S4,S391,0
S4,S392,0
S4,S393,0
S4,S394,0
S4,S395,0
S4,S397,0
S4,S399,0.25
S4,S400,0
S4,S401,0
S4,S402,0
S4,S404,0
S4,S405,0
S4,S406,0
S4,S407,0
S4,S411,0
S4,S412,0
S4,S413,0
S4,S414,0
S4,S415,0
S4,S416,0
S4,S417,0
S4,S418,0
S4,S419,0
S4,S421,0
S4,S422,0
S4,S423,0
S4,S424,0
S4,S425,0
S4,S426,0
S4,S427,0
S4,S428,0
S4,S429,0
S4,S431,0
S4,S432,0
S4,S433,0
S4,S434,0
S4,S435,0
S4,S436,0
S4,S437,0
S4,S439,0.2
S4,S440,0
S4,S442,0
S4,S444,0
S4,S445,0
S4,S446,0
S4,S447,0
S4,S448,0
S4,S449,0
S4,S450,0
S4,S453,0
S4,S456,0
S4,S459,0
S4,S461,0
S4,S462,0
S4,S466,0
S4,S467,0
S4,S468,0
S4,S469,0
S4,S470,0
S4,S471,0
S4,S472,0
S4,S473,0
S4,S474,0
S4,S475,0
S4,S478,0
S4,S479,0
S4,S480,0
S4,S481,0
S4,S482,0
S4,S483,0
S4,S484,0
S4,S486,0
S4,S487,0
S4,S488,0
S4,S489,0
S4,S490,0
S4,S495,0
S4,S496,0
S4,S499,0
S4,S500,0
S4,S502,0
S4,S505,0
S4,S506,0
S4,S507,0
S4,S508,0
S4,S510,0
S4,S511,0
S5,S6,0.16666667
S5,S7,0
S5,S8,0
S5,S10,0
S5,S12,0
S5,S13,0
S5,S15,0
S5,S16,0
S5,S17,0
S5,S18,0
S5,S20,0
S5,S21,0
S5,S22,0
S5,S23,0
S5,S24,0
S5,S25,0
S5,S26,0
S5,S27,0
S5,S28,0
S5,S29,0
S5,S30,0
S5,S31,0
S5,S32,0
S5,S33,0
S5,S34,0
S5,S37,0
S5,S42,0
S5,S45,0
S5,S46,0
S5,S47,0
S5,S49,0
S5,S50,0
S5,S51,0
S5,S53,0
S5,S54,0
S5,S55,0
S5,S56,0
S5,S57,0
S5,S59,0
S5,S60,0
S5,S62,0
S5,S63,0
S5,S65,0
S5,S66,0
S5,S67,0
S5,S68,0
S5,S69,0
S5,S70,0
S5,S71,0
S5,S73,0
S5,S77,0
S5,S79,0
S5,S80,0
S5,S81,0
S5,S82,0
S5,S83,0
S5,S84,0
S5,S86,0
S5,S87,0
S5,S88,0
S5,S91,0
S5,S94,0
S5,S95,0
S5,S97,0
S5,S98,0
S5,S100,0
S5,S103,0
S5,S106,0
S5,S107,0
S5,S108,0
S5,S110,0
S5,S111,0
S5,S114,0
S5,S117,0
S5,S118,0
S5,S119,0
S5,S121,0
S5,S122,0
S5,S123,0
S5,S126,0
S5,S129,0
S5,S130,0
S5,S131,0
S5,S132,0
S5,S133,0
S5,S134,0
S5,S135,0
S5,S136,0
S5,S137,0
S5,S138,0
S5,S139,0
S5,S140,0
S5,S141,0
S5,S142,0
S5,S143,0
S5,S145,0
S5,S146,0
S5,S147,0
S5,S148,0
S5,S149,0
S5,S151,0
S5,S152,0
S5,S153,0
S5,S154,0
S5,S155,0
S5,S156,0
S5,S158,0
S5,S160,0
S5,S163,0
S5,S165,0
S5,S166,0
S5,S167,0
S5,S169,0
S5,S170,0
S5,S172,0
S5,S174,0
S5,S178,0
S5,S180,0
S5,S181,0
S5,S182,0
S5,S183,0
S5,S184,0
S5,S186,0
S5,S187,0
S5,S188,0
S5,S189,0
S5,S190,0
S5,S193,0
S5,S194,0
S5,S195,0
S5,S197,0
S5,S198,0
S5,S201,0
S5,S202,0
S5,S203,0
S5,S204,0
S5,S206,0
S5,S208,0
S5,S209,0
S5,S210,0
S5,S212,0
S5,S214,0
S5,S216,0
S5,S218,0
S5,S220,0
S5,S221,0
S5,S222,0
S5,S223,0
S5,S224,0
S5,S225,0
S5,S227,0
S5,S229,0
S5,S230,0
S5,S231,0
S5,S232,0
S5,S234,0
S5,S235,0
S5,S239,0
S5,S242,0
S5,S243,0
S5,S244,0
S5,S245,0
S5,S246,0
S5,S247,0
S5,S253,0
S5,S254,0
S5,S255,0
S5,S256,0
S5,S257,0
S5,S261,0
S5,S262,0
S5,S264,0
S5,S265,0
S5,S266,0
S5,S267,0
S5,S268,0
S5,S269,0
S5,S270,0
S5,S271,0
S5,S274,0
S5,S275,0
S5,S276,0
S5,S277,0
S5,S278,0
S5,S280,0
S5,S281,0
S5,S282,0
S5,S284,0
S5,S285,0
S5,S286,0
S5,S287,0
S5,S288,0
S5,S293,0
S5,S294,0
S5,S295,0
S5,S297,0
S5,S298,0
S5,S299,0
S5,S300,0
S5,S302,0
S5,S303,0
S5,S304,0
S5,S305,0
S5,S306,0
S5,S308,0
S5,S310,0
S5,S311,0
S5,S313,0
S5,S316,0
S5,S317,0
S5,S318,0
S5,S319,0
S5,S320,0
S5,S321,0
S5,S324,0
S5,S325,0
S5,S326,0
S5,S327,0
S5,S329,0
S5,S331,0
S5,S332,0
S5,S333,0
S5,S334,0
S5,S335,0
S5,S336,0
S5,S337,0
S5,S338,0
S5,S339,0
S5,S340,0
S5,S342,0
S5,S344,0
S5,S345,0
S5,S346,0
S5,S348,0
S5,S349,0
S5,S352,0
S5,S354,0
S5,S357,0
S5,S358,0
S5,S359,0
S5,S360,0
S5,S361,0
S5,S362,0
S5,S363,0
S5,S365,0
S5,S366,0
S5,S367,0
S5,S368,0
S5,S370,0
S5,S371,0
S5,S373,0
S5,S374,0
S5,S375,0
S5,S376,0
S5,S377,0
S5,S378,0
S5,S381,0
S5,S384,0
S5,S386,0
S5,S387,0
S5,S388,0
S5,S389,0
S5,S390,0
S5,S391,0
S5,S392,0
S5,S393,0
S5,S394,0
S5,S395,0
S5,S397,0
S5,S399,0
S5,S400,0
S5,S401,0
S5,S402,0
S5,S404,0
S5,S405,0
S5,S406,0
S5,S407,0
S5,S411,0
S5,S412,0
S5,S413,0
S5,S414,0
S5,S415,0
S5,S416,0
S5,S417,0
S5,S418,0
S5,S419,0
S5,S421,0
S5,S422,0
S5,S423,0
S5,S424,0
S5,S425,0
S5,S426,0
S5,S427,0
S5,S428,0
S5,S429,0
S5,S431,0
S5,S432,0
S5,S433,0
S5,S434,0
S5,S435,0
