,reads.in,reads.out
S337_CSP_1.fastq.gz,22251,15896
S338_CSP_1.fastq.gz,15588,11447
S339_CSP_1.fastq.gz,16126,12134
S34_CSP_1.fastq.gz,6139,4572
S340_CSP_1.fastq.gz,15499,12029
S341_CSP_1.fastq.gz,10,4
S342_CSP_1.fastq.gz,15372,11025
S343_CSP_1.fastq.gz,11,7
S344_CSP_1.fastq.gz,21518,16452
S345_CSP_1.fastq.gz,10122,7011
S346_CSP_1.fastq.gz,19485,14481
S347_CSP_1.fastq.gz,4,4
S348_CSP_1.fastq.gz,13327,9408
S349_CSP_1.fastq.gz,15222,10267
S35_CSP_1.fastq.gz,16854,12465
S350_CSP_1.fastq.gz,5,1
S351_CSP_1.fastq.gz,38,29
S352_CSP_1.fastq.gz,2,0
S353_CSP_1.fastq.gz,4,3
S354_CSP_1.fastq.gz,18419,12967
S355_CSP_1.fastq.gz,8389,6031
S356_CSP_1.fastq.gz,4,2
S357_CSP_1.fastq.gz,14,3
S358_CSP_1.fastq.gz,19133,13708
S359_CSP_1.fastq.gz,14258,10048
S36_CSP_1.fastq.gz,18,12
S360_CSP_1.fastq.gz,17160,12490
S361_CSP_1.fastq.gz,18835,10411
S362_CSP_1.fastq.gz,7430,5171
S363_CSP_1.fastq.gz,16971,11903
S364_CSP_1.fastq.gz,6,3
S365_CSP_1.fastq.gz,25432,18016
S366_CSP_1.fastq.gz,25271,17603
S367_CSP_1.fastq.gz,23564,17305
S368_CSP_1.fastq.gz,13607,10245
S369_CSP_1.fastq.gz,10,7
S37_CSP_1.fastq.gz,3,2
S370_CSP_1.fastq.gz,3,0
S371_CSP_1.fastq.gz,16547,12022
S372_CSP_1.fastq.gz,2,0
S373_CSP_1.fastq.gz,22786,17258
S374_CSP_1.fastq.gz,19092,12860
S375_CSP_1.fastq.gz,12640,9311
S376_CSP_1.fastq.gz,19693,14591
S377_CSP_1.fastq.gz,8969,6549
S378_CSP_1.fastq.gz,30182,21436
S379_CSP_1.fastq.gz,7,2
S38_CSP_1.fastq.gz,2,2
S380_CSP_1.fastq.gz,14575,10589
S381_CSP_1.fastq.gz,30893,23327
S382_CSP_1.fastq.gz,10,4
S383_CSP_1.fastq.gz,39,27
S384_CSP_1.fastq.gz,33877,25371
S385_CSP_1.fastq.gz,12,4
S386_CSP_1.fastq.gz,35,22
S387_CSP_1.fastq.gz,20006,14823
S388_CSP_1.fastq.gz,22708,16554
S389_CSP_1.fastq.gz,22,12
S39_CSP_1.fastq.gz,4086,3005
S390_CSP_1.fastq.gz,36839,26575
S391_CSP_1.fastq.gz,24756,18167
S392_CSP_1.fastq.gz,20812,15712
S393_CSP_1.fastq.gz,16165,12424
S394_CSP_1.fastq.gz,17413,12837
S395_CSP_1.fastq.gz,18176,13232
S396_CSP_1.fastq.gz,6,4
S397_CSP_1.fastq.gz,21448,16161
S398_CSP_1.fastq.gz,9,3
S399_CSP_1.fastq.gz,18997,13715
S4_CSP_1.fastq.gz,7571,5399
S40_CSP_1.fastq.gz,6,3
S400_CSP_1.fastq.gz,11358,8465
S401_CSP_1.fastq.gz,12476,8691
S402_CSP_1.fastq.gz,18196,12640
S403_CSP_1.fastq.gz,1,0
S404_CSP_1.fastq.gz,14561,10684
S405_CSP_1.fastq.gz,24480,18033
S406_CSP_1.fastq.gz,18378,13460
S407_CSP_1.fastq.gz,18124,12768
S408_CSP_1.fastq.gz,11,8
S409_CSP_1.fastq.gz,17,8
S41_CSP_1.fastq.gz,3,1
S410_CSP_1.fastq.gz,12,9
S411_CSP_1.fastq.gz,12620,8971
S412_CSP_1.fastq.gz,6679,2944
S413_CSP_1.fastq.gz,14150,7029
S414_CSP_1.fastq.gz,15,7
S415_CSP_1.fastq.gz,26446,17474
S416_CSP_1.fastq.gz,14795,10569
S417_CSP_1.fastq.gz,13239,10169
S418_CSP_1.fastq.gz,31296,22842
S419_CSP_1.fastq.gz,25005,18380
S42_CSP_1.fastq.gz,19517,14355
S420_CSP_1.fastq.gz,7237,5282
S421_CSP_1.fastq.gz,15987,12156
S422_CSP_1.fastq.gz,18623,12650
S423_CSP_1.fastq.gz,16691,12015
S424_CSP_1.fastq.gz,17403,12966
S425_CSP_1.fastq.gz,8317,6056
S426_CSP_1.fastq.gz,15677,11041
S427_CSP_1.fastq.gz,39062,29075
S428_CSP_1.fastq.gz,20241,15042
S429_CSP_1.fastq.gz,20553,15707
S43_CSP_1.fastq.gz,1661,1162
S430_CSP_1.fastq.gz,17,7
S431_CSP_1.fastq.gz,22268,16531
S432_CSP_1.fastq.gz,18593,13615
S433_CSP_1.fastq.gz,19720,15071
S434_CSP_1.fastq.gz,9608,6545
S435_CSP_1.fastq.gz,18803,14147
S436_CSP_1.fastq.gz,20327,15285
S437_CSP_1.fastq.gz,11961,8532
S438_CSP_1.fastq.gz,9693,6955
S439_CSP_1.fastq.gz,23605,17552
S44_CSP_1.fastq.gz,7,4
S440_CSP_1.fastq.gz,15670,11702
S441_CSP_1.fastq.gz,4955,3696
S442_CSP_1.fastq.gz,21246,15742
S443_CSP_1.fastq.gz,20327,14704
S444_CSP_1.fastq.gz,16533,12242
S445_CSP_1.fastq.gz,24146,18276
S446_CSP_1.fastq.gz,5,3
S447_CSP_1.fastq.gz,15423,10759
S448_CSP_1.fastq.gz,14574,10553
S449_CSP_1.fastq.gz,4012,2711
S45_CSP_1.fastq.gz,17795,13375
S450_CSP_1.fastq.gz,11897,6471
