Sample,reads.in,reads.out,merged,tabled,nonchim
S21_HistB_1.fastq.gz,16151,10616,10071,10071,10071
S210_HistB_1.fastq.gz,8191,5489,5306,5306,4744
S211_HistB_1.fastq.gz,9452,6969,5183,5183,5183
S212_HistB_1.fastq.gz,13305,8899,8604,8604,8604
S213_HistB_1.fastq.gz,5,2,Removed,Removed,Removed
S214_HistB_1.fastq.gz,11705,7179,6925,6925,6448
S215_HistB_1.fastq.gz,5,3,Removed,Removed,Removed
S216_HistB_1.fastq.gz,10893,6380,6138,6138,6138
S217_HistB_1.fastq.gz,8,4,Removed,Removed,Removed
S218_HistB_1.fastq.gz,24994,17016,16383,16383,16345
S219_HistB_1.fastq.gz,5941,4112,3094,3094,3094
S22_HistB_1.fastq.gz,5,1,Removed,Removed,Removed
S220_HistB_1.fastq.gz,11192,7999,5237,5237,5237
S221_HistB_1.fastq.gz,26810,16471,15840,15840,15840
S222_HistB_1.fastq.gz,12141,7879,7665,7665,7665
S223_HistB_1.fastq.gz,23566,15580,14842,14842,13233
S224_HistB_1.fastq.gz,8750,5879,5745,5745,5745
S225_HistB_1.fastq.gz,11282,7003,6774,6774,6774
S226_HistB_1.fastq.gz,17816,12364,8502,8502,8502
S227_HistB_1.fastq.gz,23082,15228,14642,14642,14642
S228_HistB_1.fastq.gz,6,3,Removed,Removed,Removed
S229_HistB_1.fastq.gz,1,1,Removed,Removed,Removed
S23_HistB_1.fastq.gz,17448,9757,9396,9396,9396
S230_HistB_1.fastq.gz,16566,11523,11114,11114,10485
S231_HistB_1.fastq.gz,18934,14131,10855,10855,10778
S232_HistB_1.fastq.gz,21234,14631,14166,14166,14166
S233_HistB_1.fastq.gz,4714,3453,2544,2544,2544
S234_HistB_1.fastq.gz,10598,7978,5825,5825,5825
S235_HistB_1.fastq.gz,23460,16475,15875,15875,14612
S236_HistB_1.fastq.gz,4,1,Removed,Removed,Removed
S237_HistB_1.fastq.gz,582,407,407,407,407
S238_HistB_1.fastq.gz,3745,2650,2625,2625,2625
S239_HistB_1.fastq.gz,8772,6519,4964,4964,4964
S24_HistB_1.fastq.gz,15983,9894,7559,7559,7559
S240_HistB_1.fastq.gz,6090,4631,3735,3735,3735
S241_HistB_1.fastq.gz,9313,6136,5953,5953,5953
S242_HistB_1.fastq.gz,15716,10550,10245,10245,10245
S243_HistB_1.fastq.gz,14901,9636,9228,9228,8551
S244_HistB_1.fastq.gz,28860,21724,14259,14259,14259
S245_HistB_1.fastq.gz,14440,10412,7037,7037,7037
S246_HistB_1.fastq.gz,2915,2075,2060,2060,2060
S247_HistB_1.fastq.gz,12575,8673,8437,8437,8073
S248_HistB_1.fastq.gz,11301,7725,7458,7458,7458
S249_HistB_1.fastq.gz,6,1,Removed,Removed,Removed
S25_HistB_1.fastq.gz,29048,19905,19127,19127,18991
S250_HistB_1.fastq.gz,47,13,Removed,Removed,Removed
